CFF_reference,Class,Spname_common,Species_phylo,habitat,forage_light_level,mode_of_life,mode_of_life_ref,body_mass,body_mass_ref,Method,CFF
"Green, D. G., & Siegel, I. M. (1975). Double branched flicker fusion curves from the all-rod skate retina. Science, 188(4193), 1120–1122. https://doi.org/10.1126/science.1215989",Elasmobranchii,Winter skate,Leucoraja_ocellata,demersal,low,sessile_food,"McEachran, J. D., D. F. Boesch, and J. A. Musick. 1976. “Food Division within Two Sympatric Species-Pairs of Skates (Pisces: Rajidae).” Marine Biology 35(4): 301–17.",1537.13,fisebase_60cm_common_length,Electrophysiology,30
"Kalinoski, Mieka; Hirons, Amy; Horodysky, Andrij; Brill, Richard 2014 Spectral sensitivity, luminous sensitivity, and temporal resolution of the visual systems in three sympatric temperate coastal shark species Spectral sensitivity, luminous sensitivity, and temporal resolution of the visual systems in three sympatric temperate coastal shark species Kalinoski, Mieka; Hirons, Amy; Horodysky, Andrij; Brill, Richard",Elasmobranchii,Smooth dogfish,Mustelus_canis,demersal,low,sessile_food,based_on_annelid_and_other_slow_moving_species_in_diet_fishbase,3319.17,fisebase_100cm common length,Electrophysiology,13
"Kobayashi, H., 1962. A comparative study on electroretinogram in fish, with spectral reference to ecological aspects. J. Shimonoseki Coll. Fish., 11, pp.17-148.",Elasmobranchii,star spotted dogfish,Mustelus_manazo,demersal,low,sessile_food,mainly_slow_moving_crustaceans_fishbase,40982.82,fisebase_220cm common length,Electrophysiology,10
"Ryan, Laura A.; Hemmi, Jan M.; Collin, Shaun P.; Hart, Nathan S. 2017 Electrophysiological measures of temporal resolution, contrast sensitivity and spatial resolving power in sharks Electrophysiological measures of temporal resolution, contrast sensitivity and spatial resolving power in sharks Ryan, Laura A.; Hemmi, Jan M.; Collin, Shaun P.; Hart, Nathan S.",Elasmobranchii,Common smooth-hound,Mustelus_mustelus,demersal,low,ballistic,fishbase_diet_includes_substatial_finfish,3319.17,fisebase_100cm common length,Electrophysiology,29
"Gruber, S.H., 1969. The physiology of vision in the lemon shark, Negaprion brevirostris (Poey): a behavioral analysis. University of Miami.",Elasmobranchii,Lemon shark,Negaprion_brevirostris,demersal,low,ballistic,finfish_fishbase,176100,fisebase_240cm common length,Electrophysiology,37
"Bullock, T.H., Hofmann, M.H., New, J.G. and Nahm, F.K., 1990. Dynamic properties of visual evoked potentials in the tectum of cartilaginous and bony fishes, with neuroethological implications. Journal of Experimental Zoology, 256(S5), pp.142-155.",Elasmobranchii,Thornback ray,Platyrhinoidis_triseriata,demersal,low,sessile_food,"Feeds on small sand-dwelling crustaceans, worms and mollusks_fishebase",903,fishbase_using_91cm_length_scaling_of_b_3.04_and_a_0.001,Electrophysiology,45
"KARAMURSEL, S; BULLOCK, TH 1994 DYNAMICS OF EVENT-RELATED POTENTIALS TO TRAINS OF LIGHT AND DARK FLASHES - RESPONSES TO MISSING AND EXTRA STIMULI IN ELASMOBRANCH FISH DYNAMICS OF EVENT-RELATED POTENTIALS TO TRAINS OF LIGHT AND DARK FLASHES - RESPONSES TO MISSING AND EXTRA STIMULI IN ELASMOBRANCH FISH KARAMURSEL, S; BULLOCK, TH",Elasmobranchii,Thornack ray,Platyrhinoidis_triseriata,demersal,low,sessile_food,based_on_annelid_and_other_slow_moving_species_in_diet_fishbase,903,fishbase_using_91cm_length_scaling_of_b_3.04_and_a_0.001,Electrophysiology,20
"Bullock, T.H., Hofmann, M.H., New, J.G. and Nahm, F.K., 1990. Dynamic properties of visual evoked potentials in the tectum of cartilaginous and bony fishes, with neuroethological implications. Journal of Experimental Zoology, 256(S5), pp.142-155.",Elasmobranchii,Shovelnose guitarfish,Rhinobatos_productus,demersal,low,sessile_food,"Feeds on small sand-dwelling crustaceans, worms and mollusks_fishebase",265.22,fisebase_43.5cm_common_length,Electrophysiology,30
"Milosevic, Milena; Visnjic-Jeftic, Zeljka; Damjanovic, Ilija; Nikcevic, Miroslav; Andjus, Pavle; Gacic, Zoran 2009 Temporal analysis of electroretinographic responses in fishes with rod-dominated and mixed rod-cone retina Temporal analysis of electroretinographic responses in fishes with rod-dominated and mixed rod-cone retina Milosevic, Milena; Visnjic-Jeftic, Zeljka; Damjanovic, Ilija; Nikcevic, Miroslav; Andjus, Pavle; Gacic, Zoran",Elasmobranchii,Smallspotted catshark,Scyliorhinus_canicula,demersal,low,sessile_food,Fishbase_mostly_slow_moving_benthic_prey,781.51,fishbase 60cm common length,Electrophysiology,3.2
"McComb, D. Michelle; Frank, Tamara M.; Hueter, Robert E.; Kajiura, Stephen M. 2010 Temporal Resolution and Spectral Sensitivity of the Visual System of Three Coastal Shark Species from Different Light Environments Temporal Resolution and Spectral Sensitivity of the Visual System of Three Coastal Shark Species from Different Light Environments McComb, D. Michelle; Frank, Tamara M.; Hueter, Robert E.; Kajiura, Stephen M.",Elasmobranchii,Scalloped Hammerhead,Sphyrna_lewini,nektonic,low,ballistic,feeds_on_finfish_but_also_benthic_food_from_fishbase,291391.12,fisebase_360cm common length,Electrophysiology,27.3
"McComb, D. Michelle; Frank, Tamara M.; Hueter, Robert E.; Kajiura, Stephen M. 2010 Temporal Resolution and Spectral Sensitivity of the Visual System of Three Coastal Shark Species from Different Light Environments Temporal Resolution and Spectral Sensitivity of the Visual System of Three Coastal Shark Species from Different Light Environments McComb, D. Michelle; Frank, Tamara M.; Hueter, Robert E.; Kajiura, Stephen M.",Elasmobranchii,Bonnethead,Sphyrna_tiburo,demersal,high,ballistic,feeds_on_finfish_but_also_benthic_food_from_fishbase,1824.59,fisebase_80cm common length,Electrophysiology,31
"Kalinoski, Mieka; Hirons, Amy; Horodysky, Andrij; Brill, Richard 2014 Spectral sensitivity, luminous sensitivity, and temporal resolution of the visual systems in three sympatric temperate coastal shark species Spectral sensitivity, luminous sensitivity, and temporal resolution of the visual systems in three sympatric temperate coastal shark species Kalinoski, Mieka; Hirons, Amy; Horodysky, Andrij; Brill, Richard",Elasmobranchii,Spiny dogfish,Squalus_acanthias,demersal,low,sessile_food,based_on_annelid_and_other_slow_moving_species_in_diet_fishbase,4237.97,fisebase_100cm common length,Electrophysiology,20
"Bobkova, MV; Tartakovskaya, OS; Borissenko, SL; Zhukov, VV; Meyer-Rochow, VB 2004 Restoration of morphological and functional integrity in the regenerating eye of the giant African land snail Achatina fulica Restoration of morphological and functional integrity in the regenerating eye of the giant African land snail Achatina fulica Bobkova, MV; Tartakovskaya, OS; Borissenko, SL; Zhukov, VV; Meyer-Rochow, VB",Gastropoda,Giant African Snail,Achatina_fulica,terrestrial,low,sessile_food,"Herbivorous feeding behavior as described in Silva, G.M.D., Thiengo, S.C., Menezes, A.N., Melo, C.M.D. and Jeraldo, V.D.L.S., 2022. Relative condition factor and predictive model for the presence of the invasive snail Achatina (Lissachatina) fulica in Sergipe, Northeast Brazil. Biota Neotropica, 22(2), p.e20211323.",62.075,"mean from  Silva, G.M.D., Thiengo, S.C., Menezes, A.N., Melo, C.M.D. and Jeraldo, V.D.L.S., 2022. Relative condition factor and predictive model for the presence of the invasive snail Achatina (Lissachatina) fulica in Sergipe, Northeast Brazil. Biota Neotropica, 22(2), p.e20211323.",Electrophysiology,0.57
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,Acherontia styx,Acherontia_styx_medusa,volant,low,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",1,Mean for Sphingidae taken from Byrne et al. 1988,Electrophysiology,106.5
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,Tawny Coster,Acraea_terpsichore,volant,high,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.055,"Bhaumik, Vaishali, and Krushnamegh Kunte. 2018. “Female Butterflies Modulate Investment in Reproduction and Flight in Response to Monsoon-Driven Migrations.” Oikos 127(2): 285–96.",Electrophysiology,169
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,Convolvus hawkmoth,Agrius_convolvuli,volant,low,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",1,Mean for Sphingidae taken from Byrne et al. 1988,Electrophysiology,174.8
"Miall, RC 1978 The flicker fusion frequencies of six laboratory insects, and the response of the compound eye to mains fluorescent ÔrippleÕ The flicker fusion frequencies of six laboratory insects, and the response of the compound eye to mains fluorescent ÔrippleÕ Miall, RC",Insecta,Silk Moth,Antheraea_pernyi,volant,low,sessile_food,based_off_diet,0.9,Mean for Saturnidae taken from Byrne et al. 1988,Electrophysiology,42.5
"Srinivasan, MV; Lehrer, M 1984 Temporal acuity of honeybee vision: behavioural studies using moving stimul Temporal acuity of honeybee vision: behavioural studies using moving stimul Srinivasan, MV; Lehrer, M",Insecta,Local subspecies of Domestic European hohey bees ,Apis_mellifera_mellifera,volant,high,sessile_food,"De la Rua, P., Paxton, R.J., Moritz, R.F.A., Roberts, S., Allen, D.J., Pinto, M.A., Cauia, E., Fontana, P., Kryger, P., Bouga, M., Buechler, R., Costa, C., Crailsheim, K., Meixner, M., Siceanu, A. & Kemp, J.R. (2014). Apis mellifera. IUCN Red List of Threatened Species. 2014",0.06,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",Behavioural,200
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,Angled castor,Ariadne_ariadne_ariadne,volant,high,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.2,Mean for Nymphalidae taken from Byrne et al. 1988,Electrophysiology,205
Autrum H (1950) Die Belichtungspotentiale und das Salen der Insekten. Z. Vergleich. Physiol. 32: 176–227,Insecta,Blowfly,Calliphora_collini,volant,high,sessile_food,"Pereira De Sousa, José Roberto, Fernando Da Silva Carvalho-Filho, Leandro Juen, and Maria Cristina Esposito. 2016. “Evaluating the Effects of Different Vegetation Types on Necrophagous Fly Communities (Diptera: Calliphoridae; Sarcophagidae): Implications for Conservation.” PLoS ONE 11(10): 1–23.",0.04,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",Electrophysiology,240
Autrum H (1950) Die Belichtungspotentiale und das Salen der Insekten. Z. Vergleich. Physiol. 32: 176–227,Insecta,Stick insect,Carausius_morosus,terrestrial,high,sessile_food,"Weidler, D. J., and F. P.J. Diecke. 1969. “The Role of Cations in Conduction in the Central Nervous System of the Herbivorous Insect Carausius Morosus.” Zeitschrift für Vergleichende Physiologie 64(4): 372–99.",1,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",Electrophysiology,40
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,Common emigrant,Catopsilia_pomona_pomona,volant,high,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.1,Mean for Pieridae taken from Byrne et al. 1988,Electrophysiology,154.5
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,Mottled Emigrant,Catopsilia_pyranthe_pyranthe,volant,high,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.1,Mean for Pieridae taken from Byrne et al. 1988,Electrophysiology,181.5
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,coffee bee hawkmoth,Cephonodes_hylas_virescens,volant,low,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",1,Mean for Sphingidae taken from Byrne et al. 1988,Electrophysiology,105
"Stowasser, A., Mohr, S., Buschbeck, E. and Vilinsky, I., 2015. Electrophysiology meets ecology: investigating how vision is tuned to the life style of an animal using electroretinography. Journal of Undergraduate Neuroscience Education, 13(3), p.A234.",Insecta,margined soldier beetle,Chauliognathus_marginatus,terrestrial,high,sessile_food,"Riley, C.V., 1892. Some notes on the margined soldier-beetle (Chauliognathus marginatus). The Canadian Entomologist, 24(8), pp.186-187.",0.02,"Oertli, J. J. 1989. “Relationship of Wing Beat Frequency and Temperature During Take-Off Flight in Temperate-Zone Beetles.” Journal of Experimental Biology 145(1): 321–38.",Electrophysiology,45
"MIZUTANI, A; TOH, Y 1995 OPTICAL AND PHYSIOLOGICAL-PROPERTIES OF THE LARVAL VISUAL-SYSTEM OF THE TIGER BEETLE, CICINDELA-CHINENSIS OPTICAL AND PHYSIOLOGICAL-PROPERTIES OF THE LARVAL VISUAL-SYSTEM OF THE TIGER BEETLE, CICINDELA-CHINENSIS MIZUTANI, A; TOH, Y",Insecta,Tiger European hohey beetle,Cicindela_chinensis,terrestrial,high,ballistic,"Toh, Y. and Okamura, J.Y., 2001. Behavioural responses of the tiger beetle larva to moving objects: role of binocular and monocular vision. Journal of Experimental Biology, 204(4), pp.615-625.",0.245,"Hori, M. (1982). Studies on the biology and population dynamics of the tiger beetle Cicindela japonica (Thunberg).",Electrophysiology,45
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,African monarch,Danaus_chrysippus_chrysippus,volant,high,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.2,Mean for Nymphalidae taken from Byrne et al. 1988,Electrophysiology,187.5
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,Army green moth,Daphnis_nerii,volant,low,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",1,Mean for Sphingidae taken from Byrne et al. 1988,Electrophysiology,113.3
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,common Jezebel,Delias_eucharis,volant,high,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.1,Mean for Pieridae taken from Byrne et al. 1988,Electrophysiology,140.4
"Miall, RC 1978 The flicker fusion frequencies of six laboratory insects, and the response of the compound eye to mains fluorescent ÔrippleÕ The flicker fusion frequencies of six laboratory insects, and the response of the compound eye to mains fluorescent ÔrippleÕ Miall, RC",Insecta,Fruit Fly,Drosophila_hydei,volant,high,sessile_food,based_off_diet,0.002,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",Electrophysiology,81.9
"Palavalli-Nettimi, Ravindra; Theobald, Jamie C. 2020 Small eyes in dim light: Implications to spatio-temporal visual abilities in Drosophila melanogaster Small eyes in dim light: Implications to spatio-temporal visual abilities in Drosophila melanogaster Palavalli-Nettimi, Ravindra; Theobald, Jamie C.",Insecta,Fruit fly,Drosophila_melanogaster,volant,high,sessile_food,"Skorupa, D.A., Dervisefendic, A., Zwiener, J. and Pletcher, S.D., 2008. Dietary composition specifies consumption, obesity, and lifespan in Drosophila melanogaster. Aging cell, 7(4), pp.478-490.",0.00049,used there size,Behavioural,50
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,Common owl-moth,Erebus_macrops,volant,low,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.2,Mean for Noctuidae taken from Byrne et al. 1988,Electrophysiology,106.5
"de Haan, Roel; Lee, Yu-Jen; Nordstrom, Karin 2013 Novel Flicker-Sensitive Visual Circuit Neurons Inhibited by Stationary Patterns Novel Flicker-Sensitive Visual Circuit Neurons Inhibited by Stationary Patterns de Haan, Roel; Lee, Yu-Jen; Nordstrom, Karin",Insecta,Drone fly,Eristalis_aeneus,volant,high,sessile_food,"Skevington, Jeffrey H (2019). Field Guide to the Flower Flies of Northeastern North America. ISBN 9780691189406.",0.1,"Byrne, D. N., Buchmann, S. L., & Spangler, H. G. (1988). Relationship Between Wing Loading, Wingbeat Frequency and Body Mass in Homopterous Insects. Journal of Experimental Biology, 135(1), 9–23. https://doi.org/10.1242/jeb.135.1.9",Electrophysiology,40
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,Dot-underwing moth,Eudocima_materna,volant,low,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.2,Mean for Noctuidae taken from Byrne et al. 1988,Electrophysiology,139
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,Common crow,Euploea_core_godartii,volant,high,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.2,Mean for Nymphalidae taken from Byrne et al. 1988,Electrophysiology,208
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,Giant redeye,Gangara_thyrsis,volant,low,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.4,Mean of all other butterflies in dataset,Electrophysiology,155.7
"Miall, RC 1978 The flicker fusion frequencies of six laboratory insects, and the response of the compound eye to mains fluorescent ÔrippleÕ The flicker fusion frequencies of six laboratory insects, and the response of the compound eye to mains fluorescent ÔrippleÕ Miall, RC",Insecta,Tsetse fly,Glossina_morsitans_morsitans,volant,high,sessile_food,based_off_diet,0.02,"Terblanche, J. S., & Chown, S. L. (2007). The effects of temperature, body mass and feeding on metabolic rate in the tsetse fly Glossina morsitans centralis: Short communication. Physiological Entomology, 32(2), 175–180. https://doi.org/10.1111/j.1365-3032.2006.00549.x",Electrophysiology,290
"Mebouro, Emmanuel Kamba; Bernath, Balazs; Schenker, Dominique; Guerin, Patrick M. 2018 Vision and genesis of survival strategies in tsetse flies: A laboratory study Vision and genesis of survival strategies in tsetse flies: A laboratory study Mebouro, Emmanuel Kamba; Bernath, Balazs; Schenker, Dominique; Guerin, Patrick M.",Insecta,Tsetse fly,Glossina_pallidipes,volant,high,sessile_food,"Langley, P.A. and Pimley, R.W., 1973. Influence of diet composition on feeding and water excretion by the tsetse fly, Glossina morsitans. Journal of insect physiology, 19(5), pp.1097-1109.",0.0092,from Glossina_morsitans_morsitans in original datasheet,Behavioural,300
"Mebouro, Emmanuel Kamba; Bernath, Balazs; Schenker, Dominique; Guerin, Patrick M. 2018 Vision and genesis of survival strategies in tsetse flies: A laboratory study Vision and genesis of survival strategies in tsetse flies: A laboratory study Mebouro, Emmanuel Kamba; Bernath, Balazs; Schenker, Dominique; Guerin, Patrick M.",Insecta,Tsetse fly,Glossina_pallidipes,volant,high,sessile_food,"Langley, P.A. and Pimley, R.W., 1973. Influence of diet composition on feeding and water excretion by the tsetse fly, Glossina morsitans. Journal of insect physiology, 19(5), pp.1097-1109.",0.0092,from Glossina_morsitans_morsitans in original datasheet,Electrophysiology,265
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,Common banded awl,Hasora_chromus_chromus,volant,low,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.16,"Tiple, A. D., Khurad, A. M., & Dennis, R. L. H. (2009). Adult butterfly feeding-nectar flower associations: Constraints of taxonomic affiliation, butterfly, and nectar flower morphology. Journal of Natural History, 43(13–14), 855–884. https://doi.org/10.1080/00222930802610568",Electrophysiology,147.3
"Howard, J., Dubs, A., & Payne, R. (1984). The dynamics of phototransduction in insects - A comparative study. Journal of Comparative Physiology A, 154(5), 707–718. https://doi.org/10.1007/BF01350224",Insecta,dragonfly,Hemianax_papuensis,volant,high,pursuit,"Lancer, Benjamin Horatio, Bernard John Essex Evans, and Steven D. Wiederman. 2020. “The Visual Neuroecology of Anisoptera.” Current Opinion in Insect Science 42: 14–22. https://doi.org/10.1016/j.cois.2020.07.002.",1.2,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",Electrophysiology,57.14
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,sphinx moth,Hippotion_irregularis,volant,low,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",1,Mean for Sphingidae taken from Byrne et al. 1988,Electrophysiology,126
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,Common Eggfly,Hypolimnas_bolina_jacintha,volant,high,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.2,Mean for Nymphalidae taken from Byrne et al. 1988,Electrophysiology,182
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,lemon pansy,Junonia_lemonias_lemonias,volant,high,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.2,Mean for Nymphalidae taken from Byrne et al. 1988,Electrophysiology,203
"Miall, RC 1978 The flicker fusion frequencies of six laboratory insects, and the response of the compound eye to mains fluorescent ÔrippleÕ The flicker fusion frequencies of six laboratory insects, and the response of the compound eye to mains fluorescent ÔrippleÕ Miall, RC",Insecta,Migbrown ratory Locust,Locustaevora_migratoriae,volant,low,sessile_food,"Chyb, S. and Simpson, S.J., 1990. Dietary selection in adult Locusta migratoria. Entomologia experimentalis et applicata, 56(1), pp.47-60.",2,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",Electrophysiology,85
"Eichorn, Courtney; Hrabar, Michael; Van Ryn, Emma C.; Brodie, Bekka S.; Blake, Adam J.; Gries, Gerhard 2017 How flies are flirting on the fly How flies are flirting on the fly Eichorn, Courtney; Hrabar, Michael; Van Ryn, Emma C.; Brodie, Bekka S.; Blake, Adam J.; Gries, Gerhard",Insecta,Common green bottle fly,Lucilia_sericata,volant,high,sessile_food,based_on_Chrysomya_megacephala,0.0092,based_on_Chrysomya_megacephala,Behavioural,250
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,hawk moth,Macroglossum_limata,volant,high,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",1,Mean for Sphingidae taken from Byrne et al. 1988,Electrophysiology,140.4
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,Common evening brown,Melanitis_leda_leda,volant,low,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.2,Mean for Nymphalidae taken from Byrne et al. 1988,Electrophysiology,200.9
