CFF_reference,Class,Spname_common,Species_phylo,habitat,forage_light_level,mode_of_life,mode_of_life_ref,body_mass,body_mass_ref,Method,CFF
"Landgren, Eva; Fritsches, Kerstin; Brill, Richard; Warrant, Eric 2014 The visual ecology of a deep-sea fish, the escolar Lepidocybium flavobrunneum (Smith, 1843)(+) The visual ecology of a deep-sea fish, the escolar Lepidocybium flavobrunneum (Smith, 1843)(+) Landgren, Eva; Fritsches, Kerstin; Brill, Richard; Warrant, Eric",Actinopterygii,Escolar,Lepidocybium_flavobrunneum,nektonic,low,ballistic,"fishbase_Feeds on squid, crustaceans and a wide variety of fishes ",38600,fisebase_150cm common length,Electrophysiology,8.8
"Wolf, E.; Zerrahn-Wolf, G. 1935 Threshold intensity of illumination and flicker frequency for the eye of the sun-fish Threshold intensity of illumination and flicker frequency for the eye of the sun-fish Wolf, E.; Zerrahn-Wolf, G.",Actinopterygii,Sunfish,Lepomis_punctatus,nektonic,high,ballistic,small_fish_and apmphiopods_common_in_diet_fishbase,173.14,size from 19.1cm for Lepomis macrochirus,Behavioural,50
"Bullock, T.H., Hofmann, M.H., New, J.G. and Nahm, F.K., 1990. Dynamic properties of visual evoked potentials in the tectum of cartilaginous and bony fishes, with neuroethological implications. Journal of Experimental Zoology, 256(S5), pp.142-155.",Actinopterygii,Californian grunion,Leuresthes_tenuis,nektonic,high,ballistic,"feeding_behavior_from_Higgins, B.A. and Horn, M.H. (2014), Suction among pickers: jaw mechanics, dietary breadth and feeding behaviour in beach-spawning Leuresthes spp. compared with their relatives. J Fish Biol, 84: 1689-1707. https://doi.org/10.1111/jfb.12385",17.57333,"Mass_based _on_mean_from_Johnson, P.B., Martin, K.L., Vandergon, T.L., Honeycutt, R.L., Burton, R.S. and Fry, A., 2009. Microsatellite and mitochondrial genetic comparisons between northern and southern populations of California grunion (Leuresthes tenuis). Copeia, 2009(3), pp.465-474.",Electrophysiology,60
"McComb, D. Michelle; Kajiura, Stephen M.; Horodysky, Andrij Z.; Frank, Tamara M. 2013 Comparative Visual Function in Predatory Fishes from the Indian River Lagoon Comparative Visual Function in Predatory Fishes from the Indian River Lagoon McComb, D. Michelle; Kajiura, Stephen M.; Horodysky, Andrij Z.; Frank, Tamara M.",Actinopterygii,Grey snapper,Lutjanus_griseus,nektonic,low,ballistic,Diet_includes_small_fish_and_crustaceans_fishbase,1072.02,fisebase_40cm common length,Electrophysiology,46.7
"Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J. 2008 Comparative visual function in five sciaenid fishes inhabiting Chesapeake Bay Comparative visual function in five sciaenid fishes inhabiting Chesapeake Bay Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J.",Actinopterygii,Atlantic croaker,Micropogonias_undulatus,demersal,high,ballistic,feeds_on_finfish_and_other_nekton_from_fishbase,418.79,fisebase_40cm common length,Electrophysiology,59
"Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J. 2010 Comparative visual function in four piscivorous fishes inhabiting Chesapeake Bay Comparative visual function in four piscivorous fishes inhabiting Chesapeake Bay Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J.",Actinopterygii,Striped bass,Morone_saxatilis,demersal,high,ballistic,feeds_on_finfish_and_other_nekton_from_fishbase,22067.25,fisebase_120cm common length,Electrophysiology,75
"Bullock, T.H., Hofmann, M.H., New, J.G. and Nahm, F.K., 1990. Dynamic properties of visual evoked potentials in the tectum of cartilaginous and bony fishes, with neuroethological implications. Journal of Experimental Zoology, 256(S5), pp.142-155.",Actinopterygii,Grey mullet,Mugil_cephalus,nektonic,high,sessile_food,"Jamabo, N.A. and Maduako, N.C., 2015. Food and feeding habits of Mugil cephalus (linnaeus, 1758) in elechi creek, Niger delta, Nigeria. International Journal of Fisheries and Aquaculture, 7(3), pp.25-29.",1424,"Jamabo, N.A. and Maduako, N.C., 2015. Food and feeding habits of Mugil cephalus (linnaeus, 1758) in elechi creek, Niger delta, Nigeria. International Journal of Fisheries and Aquaculture, 7(3), pp.25-29.",Electrophysiology,100
"CARVALHO, P. S. M.; NOLTIE, D. B.; TILLITT, D. E. 2004 Biochemical, histological and behavioural aspects of visual functioning during early development of rainbow trout Biochemical, histological and behavioural aspects of visual functioning during early development of rainbow trout CARVALHO, P. S. M.; NOLTIE, D. B.; TILLITT, D. E.",Actinopterygii,Rainbow trout,Oncorhynchus_mykiss,nektonic,low,ballistic,"Gabriel J. Rossi, Mary E. Power, Shelley Pneh, Jason R. Neuswanger, and Timothy J. Caldwell. 2021. Foraging modes and movements of Oncorhynchus mykiss as flow and invertebrate drift recede in a California stream. Canadian Journal of Fisheries and Aquatic Sciences. 78(8): 1045-1056. ",2391.21,fisebase_60cm common length,Behavioural,27.1
"Carvalho, PSM; Noltie, DB; Tillitt, DE 2002 Ontogenetic improvement of visual function in the medaka Oryzias latipes based on an optomotor testing system for larval and adult fish Ontogenetic improvement of visual function in the medaka Oryzias latipes based on an optomotor testing system for larval and adult fish Carvalho, PSM; Noltie, DB; Tillitt, DE",Actinopterygii,Medaka,Oryzias_latipes,nektonic,low,sessile_food,based_off_diet_of_plankton_fishbase,0.24,fisebase_3cm common length,Behavioural,37.2
"Bullock, T.H., Hofmann, M.H., New, J.G. and Nahm, F.K., 1990. Dynamic properties of visual evoked potentials in the tectum of cartilaginous and bony fishes, with neuroethological implications. Journal of Experimental Zoology, 256(S5), pp.142-155.",Actinopterygii,Barred sand bass,Paralabrax_nebulifer,demersal,high,ballistic,fishebase,6000,Based_on_single_entry_of_6kg_on_fishbase,Electrophysiology,50
